epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1446.79,1.24978,4.1604,1.53051,0.38554,0.57251,0.46307,0.35235,0.71603,3.06006,1.11738,0.000100559,0.000100559,0.000100559
2,3474.22,0.97238,2.67968,1.29137,0.7145,0.70406,0.80791,0.6326,0.70258,2.16546,1.09897,0.000199564,0.000199564,0.000199564
3,5146.12,0.90485,2.03951,1.22461,0.79258,0.85166,0.93065,0.76168,0.62787,1.67527,1.02399,0.000296568,0.000296568,0.000296568
4,6431.52,0.87528,1.7337,1.18763,0.90243,0.91644,0.96663,0.7922,0.62328,1.22414,1.03007,0.000294001,0.000294001,0.000294001
5,7775.28,0.82847,1.47001,1.15536,0.91186,0.92621,0.9725,0.82196,0.58184,1.04809,0.99054,0.000291001,0.000291001,0.000291001
6,12680.7,0.80032,1.28745,1.13076,0.92956,0.93979,0.97881,0.81108,0.62458,0.88598,1.01586,0.000288001,0.000288001,0.000288001
7,14057.4,0.77658,1.17118,1.1128,0.95874,0.96957,0.98606,0.85015,0.53998,0.71926,0.95709,0.000285002,0.000285002,0.000285002
8,23457.8,0.75704,1.0613,1.09367,0.93867,0.96201,0.97407,0.83755,0.54294,0.73051,0.96467,0.000282002,0.000282002,0.000282002
9,25201,0.74432,1.00135,1.08678,0.98593,0.97925,0.99202,0.85434,0.54163,0.55198,0.95643,0.000279002,0.000279002,0.000279002
10,26591.4,0.73086,0.93549,1.07857,0.965,0.97009,0.98939,0.86579,0.4975,0.53171,0.93525,0.000276003,0.000276003,0.000276003
11,28090.4,0.71126,0.87735,1.06949,0.98058,0.98233,0.99341,0.85722,0.52436,0.46459,0.9507,0.000273003,0.000273003,0.000273003
12,29629.6,0.71153,0.85143,1.06646,0.97569,0.97139,0.99177,0.86168,0.50854,0.458,0.93829,0.000270003,0.000270003,0.000270003
13,31292.9,0.69494,0.82641,1.05299,0.97864,0.98966,0.99294,0.86886,0.49605,0.4096,0.93419,0.000267004,0.000267004,0.000267004
14,32739.3,0.69234,0.80233,1.05719,0.9848,0.98424,0.99251,0.86374,0.50459,0.40236,0.93835,0.000264004,0.000264004,0.000264004
