epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3342.07,1.9127,7.10802,2.072,0,0,0,0,1.8521,7.65428,2.19291,2.65823e-06,2.65823e-06,2.65823e-06
2,14114.8,1.45726,6.81308,1.70815,0.01237,0.00778,0.00798,0.00638,1.10766,6.80456,1.4293,5.27218e-06,5.27218e-06,5.27218e-06
3,42248.2,1.18648,6.17584,1.46832,0.06916,0.48353,0.08046,0.06195,0.93734,5.83298,1.29679,7.83333e-06,7.83333e-06,7.83333e-06
4,45405.3,1.15542,5.32648,1.47646,0.27043,0.28992,0.19109,0.14598,0.89987,5.04916,1.31097,7.7624e-06,7.7624e-06,7.7624e-06
5,50778.5,1.17221,4.73518,1.50901,0.31204,0.38964,0.28399,0.21513,0.88542,4.48366,1.3501,7.6832e-06,7.6832e-06,7.6832e-06
6,54900.6,1.15708,4.31924,1.51236,0.37483,0.43519,0.37496,0.28582,0.86828,4.08006,1.3618,7.604e-06,7.604e-06,7.604e-06
7,73777.5,1.14097,4.03917,1.49868,0.4307,0.51334,0.46093,0.35593,0.835,3.75649,1.34383,7.5248e-06,7.5248e-06,7.5248e-06
8,77475.6,1.13259,3.82853,1.50082,0.47374,0.56979,0.52487,0.40848,0.81446,3.54993,1.32694,7.4456e-06,7.4456e-06,7.4456e-06
9,81665.7,1.09602,3.62156,1.46971,0.52737,0.6281,0.59684,0.47012,0.78644,3.32329,1.31119,7.3664e-06,7.3664e-06,7.3664e-06
10,86409.7,1.09158,3.45765,1.46973,0.58865,0.65614,0.6619,0.52592,0.76468,3.16876,1.28479,7.2872e-06,7.2872e-06,7.2872e-06
11,90399.8,1.06051,3.32277,1.44895,0.63926,0.6887,0.70863,0.56694,0.75051,3.00241,1.27322,7.208e-06,7.208e-06,7.208e-06
